[07/Feb/2026:15:34:35 +0000] GET /api/owner/orders/branches 304 281.310 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:35 +0000] GET /api/owner/orders 304 294.385 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:35 +0000] GET /api/owner/inventory/branches 304 85.045 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:36 +0000] GET /api/owner/inventory 304 197.273 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:36 +0000] GET /api/owner/inventory/branches 304 129.639 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:36 +0000] GET /api/owner/inventory 304 108.216 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:36 +0000] GET /api/owner/products/accepted 304 230.831 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:36 +0000] GET /api/owner/products/accepted 304 126.520 ms - anonymous - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:37 +0000] GET /api/branches 304 207.482 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:37 +0000] GET /api/branches 304 545.592 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[07/Feb/2026:15:34:39 +0000] GET /api/employees 200 1888.227 ms - admin - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
